ax,ay,az,gx,gy,gz
Samples stored: 73
6.7612,-9.3925,0.9601,0.7757,-0.7453,1.3043
3.9433,-9.5074,-0.1556,0.2718,-0.8146,1.3115
3.0406,-10.4986,0.2155,0.4756,-0.8769,1.2007
0.1149,-9.6199,1.2905,0.7461,-0.6051,0.7131
0.1820,-9.3805,1.8196,0.5175,-0.8599,0.5998
-0.0407,-9.9096,2.4756,0.4210,-0.8934,0.2835
0.9313,-9.9216,2.4756,0.1191,-1.0168,-0.0008
0.7494,-10.3789,2.1596,-0.0349,-0.8761,-0.5777
1.4916,-10.6494,1.2354,-0.2190,-0.5415,-0.8636
2.9233,-11.8513,-1.8651,-0.0807,-0.5441,-1.1863
4.0486,-9.5481,-2.5762,0.4330,-0.4141,-1.6284
4.1396,-6.9528,-1.8340,0.9705,-0.0909,-2.5759
5.7509,-4.7214,-1.0606,1.2521,0.2225,-3.2154
7.9966,-1.9728,-0.1149,1.1679,-0.1002,-1.7352
10.8673,-1.4174,0.9529,1.1951,-0.0823,-0.6592
9.8497,-2.8228,2.6432,1.0371,-0.2206,-0.2108
9.2033,-3.8690,3.8403,0.2585,0.0027,0.6821
5.0159,-2.7126,2.1763,0.1199,-0.2803,0.4306
4.7453,-0.4094,1.4150,0.2499,-0.1633,0.5063
8.2408,-2.6264,1.5658,0.1010,-0.0661,0.7341
9.3350,-9.1123,1.4844,-0.3712,0.4514,0.9137
7.9248,-13.4482,0.3759,-0.1338,0.4154,1.3528
5.5976,-13.6948,0.1891,0.2284,0.2569,0.9531
4.6328,-11.0708,0.1413,0.1234,0.0261,0.6017
4.5562,-10.0485,1.0463,-0.2809,-0.3659,0.4802
3.4213,-9.9718,0.3448,-0.2350,0.1404,-0.3984
7.4699,-5.8490,0.3184,-0.1127,0.4394,-0.6017
6.8091,-4.4939,1.0223,-0.4247,0.5652,-0.8322
5.3558,-3.9672,2.0686,-0.3794,0.8335,-0.2374
5.2409,-5.5043,2.7533,-0.1831,0.7623,-0.9960
7.4915,-6.4620,2.4157,-0.3528,0.2995,-1.0064
8.2456,-6.9360,2.1835,-0.4847,0.0927,-0.8567
10.8409,-4.3551,-0.8188,-0.8820,0.0695,-0.1023
12.2224,-7.8458,-1.0343,-0.2872,0.3059,0.5324
8.2959,-3.2537,0.2227,-0.3094,0.2883,-0.7285
10.4674,-1.3815,-0.0048,-0.2332,-0.0512,-0.2118
9.9311,-1.9992,0.0455,-0.3688,0.2118,0.2041
9.2416,-3.0430,-0.0527,0.0402,-0.2356,0.2276
9.3254,-3.5410,-0.5962,0.3003,-0.1031,0.1111
8.9567,-4.2138,-0.4214,0.3587,0.0165,0.4271
9.4188,-4.3862,-0.0503,0.5148,0.0176,0.1375
9.1339,-5.4444,0.5746,0.5473,0.2443,-0.0288
9.0884,-6.3135,1.6712,0.4772,0.0405,-0.3621
8.2241,-7.9679,1.9106,-0.0525,0.0650,0.1053
6.7301,-5.5881,1.4724,-0.0514,-0.0397,-0.1471
8.4252,-4.0175,0.7661,-0.0181,-0.0117,-0.3411
9.2440,-3.5099,0.5674,0.0493,-0.0714,-0.2793
9.3685,-4.4532,0.3448,0.1476,-0.0285,0.0362
9.5337,-2.9664,0.0407,-0.1687,-0.1175,0.5875
9.1075,-4.2880,-0.0335,0.0005,-0.1567,0.2385
9.5840,-4.3191,-0.1317,0.2009,-0.0480,0.0951
9.2009,-4.1061,-0.0263,0.2060,-0.0394,0.2078
9.1387,-4.9560,0.0622,0.1897,-0.1077,0.3595
8.8921,-5.7197,-0.0263,0.2281,-0.0765,0.2673
1.4892,-0.9074,0.2346,0.1367,-0.0440,-0.2846
8.2911,-4.3239,0.4884,0.0624,-0.1444,-0.3011
8.7700,-3.9265,0.0192,-0.4642,0.0562,-0.1396
8.8418,-3.8283,-0.4645,-0.2555,-0.2001,-0.2230
9.5361,-3.7062,-1.0774,-0.0013,-0.2611,-0.0882
9.2512,-4.6998,-1.4629,0.1671,-0.0962,-0.0309
9.2560,-3.2370,-1.0702,0.3754,-0.1074,-0.1665
9.5577,-3.4668,-0.3112,-0.2555,0.0648,0.3531
8.9447,-3.7230,-2.8850,-0.7450,-0.4762,-0.1759
9.5505,-4.6352,-1.7166,-0.9870,0.1164,-0.0778
9.1387,-4.1515,-0.7757,0.4338,0.4810,-0.1263
9.0812,-2.9521,-0.2107,0.9292,0.4530,0.0581
9.1435,-3.8068,-0.4836,0.6624,0.1082,0.0885
