MPU6050 Found!
-0.22,-0.02
4.78,-8.66,-0.00,0.14,0.00,0.00
4.78,-8.66,-0.05,0.13,-0.00,0.01
4.78,-8.66,0.00,0.13,0.00,0.01
4.80,-8.65,0.00,0.14,-0.00,0.01
4.75,-8.66,0.00,0.13,-0.00,0.01
4.78,-8.65,-0.00,0.13,-0.00,0.01
4.77,-8.67,-0.06,0.13,0.00,0.01
4.79,-8.67,-0.06,0.14,-0.00,0.01
4.78,-8.66,-0.05,0.14,0.00,0.01
4.79,-8.65,-0.03,0.13,0.00,0.01
4.75,-8.67,-0.06,0.13,0.00,0.01
4.76,-8.68,-0.06,0.13,-0.00,0.01
4.75,-8.66,-0.03,0.13,-0.00,0.01
4.73,-8.67,0.01,0.13,-0.00,0.01
4.75,-8.65,0.01,0.14,-0.00,0.01
4.77,-8.67,0.04,0.13,-0.00,0.01
4.81,-8.65,0.09,0.13,-0.00,0.02
4.77,-8.68,0.08,0.13,-0.00,0.00
4.76,-8.66,0.04,0.13,0.00,0.00
4.75,-8.67,-0.02,0.13,0.00,0.01
4.78,-8.66,0.01,0.13,-0.00,0.01
4.79,-8.66,-0.02,0.13,-0.00,0.01
4.81,-8.66,-0.01,0.13,-0.00,0.01
4.78,-8.69,-0.00,0.13,-0.00,0.01
4.78,-8.64,0.01,0.13,0.00,0.00
4.78,-8.66,0.02,0.13,-0.01,0.01
4.85,-8.61,-0.02,0.13,-0.00,0.01
4.78,-8.65,0.02,0.13,0.00,0.01
4.69,-8.70,-0.10,0.13,-0.00,0.01
4.70,-8.67,-0.06,0.14,-0.00,0.01
4.75,-8.66,-0.04,0.14,-0.00,0.01
4.74,-8.66,-0.03,0.13,0.00,0.01
4.74,-8.68,-0.02,0.14,0.00,0.01
4.76,-8.66,-0.03,0.13,-0.01,0.01
4.70,-8.71,-0.06,0.13,-0.00,0.01
5.09,-8.99,-0.17,0.10,-0.01,0.02
4.73,-8.71,-0.05,0.14,0.00,-0.00
4.75,-8.60,-0.05,0.13,0.00,0.01
4.79,-8.66,-0.01,0.14,-0.00,0.01
4.69,-8.71,-0.04,0.14,-0.00,0.01
4.70,-8.66,0.03,0.13,-0.00,0.01
4.74,-8.69,0.04,0.13,-0.00,0.01
4.75,-8.67,0.04,0.13,0.00,-0.00
4.81,-8.65,0.03,0.13,0.00,-0.00
4.80,-8.65,-0.00,0.13,-0.00,0.01
4.79,-8.66,-0.03,0.13,-0.00,0.01
4.78,-8.67,-0.03,0.13,0.00,0.01
4.75,-8.66,-0.00,0.13,-0.00,0.02
4.73,-8.70,0.01,0.14,-0.00,0.01
4.76,-8.68,-0.02,0.13,-0.00,0.01
4.81,-8.64,-0.04,0.14,0.00,0.01
4.76,-8.67,-0.02,0.14,-0.00,0.01
4.77,-8.65,0.03,0.13,-0.00,0.01
4.75,-8.67,0.02,0.13,-0.00,0.01
4.73,-8.65,-0.02,0.14,0.00,0.01
4.74,-8.66,-0.02,0.13,-0.00,0.01
4.77,-8.72,0.03,0.14,-0.00,0.01
4.76,-8.70,-0.02,0.14,0.00,0.01
4.78,-8.67,-0.06,0.14,-0.00,0.01
4.76,-8.65,0.02,0.14,-0.00,0.01
4.76,-8.68,-0.04,0.13,-0.00,0.01
4.76,-8.64,-0.01,0.13,-0.00,0.01
4.80,-8.69,-0.03,0.13,-0.00,0.01
4.77,-8.65,-0.03,0.13,-0.00,0.01
4.71,-8.67,-0.01,0.13,-0.00,0.01
4.75,-8.67,0.00,0.13,-0.00,0.01
4.75,-8.70,-0.01,0.13,0.00,0.00
4.77,-8.69,-0.01,0.13,-0.00,0.01
4.74,-8.67,-0.02,0.13,-0.00,0.01
